Name,TP Tier,PRO Tier,Notes,Check other sheets for more (bottom left),,,,,,,,,,,,,,,,,,
bkz_blackrockshooter_vzp,3,3,"All-bhop map, with some surfs that are sticky at some spots",,,,,,,,,,,,,,,,,,,
bkz_bonus_z1,3,3,"Bhop map with good spacing for VNL, easy drop LJs, drop bhop section at the end",> Contact us ,,,,,,,,,,,,,,,,,,
bkz_cakewalk,5,6,"Fast triggers, forced perfs unless you walk, 260 JB, multiple bhop section you can walk or perf",No active bounties ATM,,,,,,,,,,,,,,,,,,
bkz_canadaszn,4,4,"One hard-ish walk or perf, 248 block that can be wallstrafed, walk around corner, walks on bhops",,,,,,,,,,,,,,,,,,,
bkz_cauz_final,4,6,"Pixelsurfs almost everywhere, a couple of JBs towards end, long drop and forced perf",Check out the VNL KZ website,,,,,,,,,,,,,,,,,,
bkz_cauz_short,7,8,"Left pre 180° JB, multiple 180° JBs, JB or perf around corner, hard walks around corner, pixel surf on 300 and 255 block, 260 and 265 block JBs at the end ",vnl.kz,,,,,,,,,,,,,,,,,,
bkz_caves_go,2,2,"Bhop map with increasingly longer sections, climb section in the middle after the ladder with a few block skips, take left bhop path at end bhop section",,,,,,,,,,,,,,,,,,,
bkz_cg_coldbhop  ,2,2,"All bhops are single hop, some forced perfs, skip at the end (bhop and touch trigger from the platform above)",> VNL News Letter ,,,,,,,,,,,,,,,,,,
bkz_chillhop_go  ,2,2,"Short distance bhops, block skips, pixel walks, perf grind",,,,,,,,,,,,,,,,,,,
bkz_dontstop,5,5,"You have to do the map in one go - no saves, forced walks / perfs",,,,,,,,,,,,,,,,,,,
bkz_dydhop,4,5,"Bhop map, forced walks or perfs full run ",,,,,,,,,,,,,,,,,,,
bkz_goldbhop_csgo,2,3,"Bhop map with a climb section in the middle, 235 block, walk or perf the block after the stairs",,,,,,,,,,,,,,,,,,,
bkz_goldbhop_v2go,3,4,"Bhop map with a little bit longer distanced bhops, a lot of nodraw blocks on the end bridge",,,,,,,,,,,,,,,,,,,
bkz_greed,4,4,"Mostly short spaced bhops, jump off bridge to skip half a section, no forced perfs, a few rehop blocks",,,,,,,,,,,,,,,,,,,
bkz_hellokitty_v2,4,4,"Skip the first bhop section by jumping on LJ door, boosters, last bhop section has a hard walk or forced perf at end",,,,,,,,,,,,,,,,,,,
bkz_impulse,6,6,"Pixelsurf skips towards the start, easy bhops towards the start and harder ones (walks/perfs) around walls throughout the map, very long and hard bhop section at the end",,,,,,,,,,,,,,,,,,,
bkz_iota_v3 ,8,8,"Pixel walk on 2 of the bhops on the hardest bhop section, 256 JB mid bhop",,,,,,,,,,,,,,,,,,,
bkz_itz_h25l,3,4,"Blue blocks are bhop and red blocks are save blocks, a lot of routing options, a couple of skips that require good strafes",,,,,,,,,,,,,,,,,,,
bkz_kartrider ,3,3,"All bhop map with long sections, rehops are needed",,,,,,,,,,,,,,,,,,,
bkz_levite_v2,5,6,"Pixelsurfs almost everywhere, drop JB, two forced perf sections, walk on the bar section",,,,,,,,,,,,,,,,,,,
bkz_lewlysex,4,5,Lewly tech (bhop once off a block then you can walk for a long time),,,,,,,,,,,,,,,,,,,
bkz_measure  ,5,6,"Bhops map with forced walks or perfs, LJ > JB off a bhop block (can be double JB'ed)",,,,,,,,,,,,,,,,,,,
bkz_measure2_b03,4,5,"Bhops are walkable but they aren't needed, No forced perfs, midsection bhop drop to bhops (less stamina penalty w/ walk off)",,,,,,,,,,,,,,,,,,,
bkz_nocturns_blue_gfix,6,7,"Hard bhops that have random walk distances, 260 JB block",,,,,,,,,,,,,,,,,,,
bkz_sahara,8,8,"Pixel walks, VERY hard bhop map with pixel walks everywhere. Hardest sections: 180 JB and ""EASY"" section (both have pixel walks)",,,,,,,,,,,,,,,,,,,
bkz_uninspired_trash,6,7,"Lewly tech, hard LJ off a bhop, 256 mid bhop (can pixelwalk to 180° JB), LJs on curved blocks (~230 at the right angle)",,,,,,,,,,,,,,,,,,,
bkz_volcanohop,2,3,"Short bhop map with easily spaced bhops, one bhop is a forced perf, perf grind",,,,,,,,,,,,,,,,,,,
bkz_zephyr_v2,4,5,"Easy/Medium bhop blocks that can be walked for a long time, LAJ, you can cheese the surf by standing on it",,,,,,,,,,,,,,,,,,,
kz_11342        ,2,2,"Strafey drops, CJs and ledgegrabs, odd routing at times",,,,,,,,,,,,,,,,,,,
kz_11735,1,2,"CJ and LJ block skips, routing in floating block sections is weird, no hard jumps",,,,,,,,,,,,,,,,,,,
kz_16pillars,3,6,"Lengthy repetitive map that is hard to route, only climbing, easy jumps, one medium corner",,,,,,,,,,,,,,,,,,,
kz_21loop_final_fix,4,5,Long map with water and decently distanced blocks ,,,,,,,,,,,,,,,,,,,
kz_2fast,5,5,"Mainly a micro bhop map, bhop triggers are inconsistent, bhop off 0.01 unit pixel on top of the first surf or pause on it ",,,,,,,,,,,,,,,,,,,
kz_2seasons_spring_final,3,5,"Medium length map with easy jumps, wallstrafe skip at the end of the bridge",,,,,,,,,,,,,,,,,,,
kz_2seasons_winter_final,7,9,"Crouchbug prekeep (you can JB), Forced JBs, hard corners, 180° JB, 360° JB, prekeeps/hard LJs ",,,,,,,,,,,,,,,,,,,
kz_4u_nature,3,4,"Slow surf up in the beginning, perf or JB off spike to gain more height on the surf up, walk bhops, mostly easy jumps",,,,,,,,,,,,,,,,,,,
kz_7in1,4,6,"Long map, annoying wall climb, sticky walls everywhere, surf skip on pryamid",,,,,,,,,,,,,,,,,,,
kz_8b1_brickngrass,3,4,"Very few skips, routing, ladders, some prekeep skips",,,,,,,,,,,,,,,,,,,
kz_abandoned,7,8,"JB out of surf (LJ or directly JB from surf to ladder), 270° turn into JB around vent, drop JB off beam from previous block hard jumps ",,,,,,,,,,,,,,,,,,,
kz_acores,4,4,"240 +ve offset block, medium drop LJ, ladders",,,,,,,,,,,,,,,,,,,
kz_adeline,2,2,"Short easy map, JB 256 block skip, most time saves are noducks",,,,,,,,,,,,,,,,,,,
kz_adv_cursedjourney,6,8,"VERY long map (~1-2hrs), lots of 256s, pixelsurf in skip room (CJ > perf to pixelsurf), weird bhop blocks at end, lots of skips, JB or do good LJ for last block ",,,,,,,,,,,,,,,,,,,
kz_adventure_v2,3,6,"Large room climb map without pro saves, headbangers, wallstrafes, ladderclimb and 240 block at the end",,,,,,,,,,,,,,,,,,,
kz_after_agitation_easy_fix,4,6,"Hard WR route, spike jump (prekeep), headbangers",,,,,,,,,,,,,,,,,,,
kz_ahful,8,8,"Hard drop LJ (can be done with 180° JB, BH > JB), big surf, hard 180° walks, 268 JB (can be wallstrafed), surf ups, forced perfs, hard dark bhop room (0.4 units pixelwalk) // pixel walks ",,,,,,,,,,,,,,,,,,,
kz_akrh_warehouse_v3,3,4,"Easy map with a lot of crouch jump skips, one easy surf up",,,,,,,,,,,,,,,,,,,
kz_alfama,4,4,"Surfs are easy, easy LJs, double perf bhop on sticks standing out to skip surf, crouch perf from two blocks before to make grass surf",,,,,,,,,,,,,,,,,,,
kz_alice_fix,5,6,"All bhops are walkable, pixelwalk on first ladder, hard corner to surf climb that you cannot duck, weirdjump JB, 250 block at the end (trigger skip towards the start doesn't work anymore)",,,,,,,,,,,,,,,,,,,
kz_alouette_fix,3,5,"Long map with easy jumps, 236 block at end, ladder skip in silo (CJ to this), many block skips that require heavy strafing, straight forward map",,,,,,,,,,,,,,,,,,,
kz_alt_aztec,2,3,Same as kz_aztec but a KZT only skip was removed as well as inclusion of teleport triggers in death spots,,,,,,,,,,,,,,,,,,,
kz_alt_cargo,2,3,"Long map with two sections of crates, part near ship a little confusing but no hard jumps, original version of kz_cargo",,,,,,,,,,,,,,,,,,,
kz_amber_od,7,8,"Skip at start, one medium surf, perf chains mid bhop, one hard surf up, forced perfs/hard walks, one forced JB, one JB can be skipped by going on the side of the block on the wall",,,,,,,,,,,,,,,,,,,
kz_ancient_v3,2,3,"Very few block skips, easy headbanger (barely keeps you ducked), easy ladders, large surf with a small skip, perfs are the main timesave",,,,,,,,,,,,,,,,,,,
kz_another_climb_map ,7,9,"All bhop map, ice blocks everywhere, pre keeps, 180 JBs, VERY hard bhop section after surf, forced perfs and walks",,,,,,,,,,,,,,,,,,,
kz_antigeneric,2,3,"Four ladders (fall onto first for a time save), a couple of CJ skips and falling time saves, corner skip (saves 2s)",,,,,,,,,,,,,,,,,,,
kz_antiquity ,3,4,"Pixelwalk on first surf at start for a time save, climbing surfs take long, easy bhop blocks, water sections (crouch ones as well), 248 block (wallstrafe), use Ferrari surf to save time ",,,,,,,,,,,,,,,,,,,
kz_anus,3,3,"Spikes, medium end double surf (look for 530-600 speed off of first surf w/ at the 515 minimum)",,,,,,,,,,,,,,,,,,,
kz_apiisnotresponding,3,3,"Sequence blocks (touch in order), confusing route, micro map, 240 block",,,,,,,,,,,,,,,,,,,
kz_arbitrary_words,5,8,"The map is mainly long surfs ups (Ferrari surf required ~40mins), the top of the big surf is at 24.03, two 248 blocks, slightly strafey drops, cperf > JB the big drop, bhop section uses Lewly tech",,,,,,,,,,,,,,,,,,,
kz_arcadium,5,6,"Bhops that you can walk for long (and CP), drop LJ near the start, walk/drop JB bhop section, hard JB/LJ drop corner near end (180° JB), blocks at the end aren't bhops",,,,,,,,,,,,,,,,,,,
kz_arrebol,6,7,"Drop JB (LJ bind into it), 235 block mid bhop (JB or MBH), 250 blocks (can be wallstrafed or skipped), ladder wallstrafe, hard bhop sections",,,,,,,,,,,,,,,,,,,
kz_ashen,5,6,"252 block 90° JB towards start, some medium strafe heavy LJs, reverse ladder, 248 block wallstrafe, headbanger",,,,,,,,,,,,,,,,,,,
kz_asphyxiate,5,6,"Tricky low pre LJ, a few JBs (one has weird pre), one hard slope LJ drop towards the end (~244)",,,,,,,,,,,,,,,,,,,
kz_asteroid_field_go,3,5,"Medium length map (~10mins), Tons of block and CJ skips (some are strafey)",,,,,,,,,,,,,,,,,,,
kz_autobadges ,4,4,"One JB skip, other route is possible too with a weird JB and a wallstrafe at the end",,,,,,,,,,,,,,,,,,,
kz_automata ,1,1,"Very easy jumps, standable ladders, mostly running",,,,,,,,,,,,,,,,,,,
kz_aztec,2,4,"Hard WR route, tons of block skips, easy-ish LJs",,,,,,,,,,,,,,,,,,,
kz_azure,8,9,"RNG bhops, crazy 360 around corner (or pixelsurf), very hard surf into a hard bhop, surf has a pixelwalk, pixelsurf on the first bhop block, Crouchjump Ladder glide ",,,,,,,,,,,,,,,,,,,
kz_babycat_fix,3,5,"Multiple sectioned LJ and bhop parts, tiny block skips",,,,,,,,,,,,,,,,,,,
kz_bacho,4,6,"Easy jumps at start, prekeep LJ, 256 JB or perf > pixelsurf, 250 block wallstrafe or JB, pixel walk on surf w/ a JB at the end of it",,,,,,,,,,,,,,,,,,,
kz_basicnoon,6,6,"You can CP on bhops, 248 block, 256 mid bhop section, hard walks/perfs, hard LJ/JB, 256 block mid bhop section (block is slanted), pixelwalk at the back of last 256 block",,,,,,,,,,,,,,,,,,,
kz_baxter,2,3,One medium LJ or perf to tunnel (perf from previous block),,,,,,,,,,,,,,,,,,,
kz_beanguy_v2 ,4,5,"Semi-strafe heavy map that goes from dark to bright, pace stopping surf up, 244~ LJ block (248 with offset)",,,,,,,,,,,,,,,,,,,
kz_beginnerblock_go,1,1,"Heavily grinded old map, no hard jumps, heavy micro",,,,,,,,,,,,,,,,,,,
kz_betapmaps,8,9,"Gravity trigger cheese, map is apparently doable on windows hosted servers only",,,,,,,,,,,,,,,,,,,
kz_betterdunjun,4,5,"Ladder line up (LAJ > wallstrafe), easy LJs, LJ/prekeep/perf drop, block skip on drop into last room",,,,,,,,,,,,,,,,,,,
kz_beyond_fix,7,7,"JB skip at the start, triggers can be cancelled by making a 2nd player touch them just before landing on them (makes the map ridiculously easier)",,,,,,,,,,,,,,,,,,,
kz_bhop_exodus,7,7,Gravity trigger cheese,,,,,,,,,,,,,,,,,,,
kz_bhop_lego,8,8,"VERY hard outside section that requires multiple perfs, walks and a 180 JB, x2 drop JBs in a row (you can wallbug)  , forced perfs/JBs",,,,,,,,,,,,,,,,,,,
kz_bhop_lj ,7,8,"Very broken BH triggers, drop JB at the start, hard corner (HSW or go for low pre), pixel walks on bhop blocks // last section on PRO ",,,,,,,,,,,,,,,,,,,
kz_bhop_monsterjam,3,5,"Long bhop map with KZ routes as well, sometimes the bhop routes are faster, a lot of block skips",,,,,,,,,,,,,,,,,,,
kz_bhop_mosaic_od2,8,9,"Pixel surfs, hard ladders, pixel surf skip // avoid pixel surf skip PIXEL WALKS EVERYWHERE pixel walks ",,,,,,,,,,,,,,,,,,,
kz_bhop_rotebal3,5,5,Gravity trigger cheese,,,,,,,,,,,,,,,,,,,
kz_bhop_watertemple,4,5,"Pixelsurfs at start, bhops can be walked on, triggers on drop section can be inconsistent",,3,"large surf flick, has pixelwalk on top but crouch perfing + wallstrafe does not help",,,,,,,,,,,,,,,,
kz_bible_black,4,6,"180° perf/JB/LJ drop, medium/hard LAJ unless ducked, hard roof surf skip (can save upto save 5s)",,,,,,,,,,,,,,,,,,,
kz_bing,3,3,"Short climb map, crouch pierce skip on 65! block, crouch section skip",,,,,,,,,,,,,,,,,,,
kz_blatherskite_v1,3,5,"No bhops, medium LJs but mostly easy jumps, 240 block at start, fake blocks (2nd, 6th and 8th are real), spikes, invisible ladder at arrow",,,,,,,,,,,,,,,,,,,
kz_blindcity_easy_fix,4,6,"Long easy map, drops, easy LJs, a few easy/medium corners, medium block at end",,,,,,,,,,,,,,,,,,,
kz_blindcity_hard_final,7,8,"Hard bhop headbanger (can be lowjumped), hard bhop sections, 360° JB (can be LJ'd but insanely hard), some hard corner jumps, hard jumps/techs/skips",,,,,,,,,,,,,,,,,,,
kz_blocks2006,4,4,"243 sideways block (can prekeep from lower part or JB), easy LJs otherwise",,,,,,,,,,,,,,,,,,,
kz_bluerace_v2,3,4,"Most timesaves are noducks but there are a few CJ skips, trigger zone for first drop, strafe heavy drop (LJ w/ good strafes, perf or JB), a lot of block skips after the drop",,,,,,,,,,,,,,,,,,,
kz_bombu,5,5,"240 block near the start (you can bhop from lower part), surf drop JB, pixelwalk bhop on pink surf (speed cancel)",,,,,,,,,,,,,,,,,,,
kz_boomblock,2,3,"Heavy micro block map, water section (hold jump), lots of CJ and strafe skips, hard routing",,,,,,,,,,,,,,,,,,,
kz_breezeblocks,3,4,"Easy LJs, small blocks that make prekeeping hard, ride surfs parallel to climb",,,,,,,,,,,,,,,,,,,
kz_brickblock_v2,4,4,"New method // Easy LJs, edgebug through the trigger on the ladder to grab the trigger on the otherside, vesq tech on the ladder > fast climb LAJ",,,,,,,,,,,,,,,,,,,
kz_bridge17_fix,2,3,"Easy-ish LJs, hard to route, lots of skips, annoying headbangers, drop LJs, ladders",,,,,,,,,,,,,,,,,,,
kz_brightblock,4,5,"One medium blue corner and another hard blue corner, hard to pro",,,,,,,,,,,,,,,,,,,
kz_buildings_final,5,7,"Climb map with many skips,  pixelwalk on ladders, one hard headbanger corner (can be skipped with direct LJ), hard drop at the end (JB is easier)",,,,,,,,,,,,,,,,,,,
kz_byrem,5,5,Gravity trigger cheese,,,,,,,,,,,,,,,,,,,
kz_cajou ,4,4,"Surf up near the start (ferrari surf works) that can be skipped with a jb/prekeep from the previous blocks, climb, medium/hard drop LJ",,,,,,,,,,,,,,,,,,,
kz_canyon,3,3,"Routing section at start, far jump to slope (perf/JB or skip), pillar section is all bhops",,,,,,,,,,,,,,,,,,,
kz_cargo,2,4,"Long map with two sections of crates, no hard jumps besides a tight headbanger, same as kz_alt_cargo w/ KZT perf skips (and some jumps are harder)",,,,,,,,,,,,,,,,,,,
kz_carp_v2,2,2,"Very short map with many skips, ledgegrabbing and noducks",,,,,,,,,,,,,,,,,,,
kz_cartooncastle_go,1,1,"No hard jumps, do not use surfs, perfs are the main timesave",,,,,,,,,,,,,,,,,,,
kz_cascade_v4,6,6,"Bhop map (walkable), go for height in white ladder room, two forced perfs off surfs (surf > perf > surf), big surf drop into water, last surf into water (flick left near the end to follow the curve)",,,,,,,,,,,,,,,,,,,
kz_castlehops_v3,4,5,"Bhop map with some forced walks/perfs, pillars after TP aren't bhop, some headbangers, hold bind to get under ceiling",,,,,,,,,,,,,,,,,,,
kz_catalyst_gfix,6,7,"Bhop-heavy map, pixel walk in a bhop section before tunnel, bhop > weird JB near the end (or pixel walk), long bhop section at the end // JB skip at the end ",,,,,,,,,,,,,,,,,,,
kz_catharsis_global,4,4,"Easy LJs with some single block skips, surf with most height possible (w/ high speed) to make across full run ",,,,,,,,,,,,,,,,,,,
kz_caulis_v2,2,3,"Climb map with a lot of CJ skips and noducks, a lot of time saves rely on inconsistent surf ups",,,,,,,,,,,,,,,,,,,
kz_cdr_myst,3,4,"Slanted walls have TP triggers, forced perf or good edge walk on beam, skip all barrels on surf, side of the ladder is climbable",,,,,,,,,,,,,,,,,,,
kz_cellblock_go2,2,2,"Short map with TONS of CJ block skips, walking outside of the gate is slightly faster, LJ block near the end is skippable",,,,,,,,,,,,,,,,,,,
kz_cereal,5,7,"Medium surfs, JB on upwards slope, JB off the top of the big surf, hard and precise slide skip off the big ""Not a Donut"" at the end",,,,,,,,,,,,,,,,,,,
kz_cf_hestia ,7,8,"Lengthy (30 mins+), very hard bhop map with many walks, forced perfs, and JBs mid bhop, 256 JB mid bhop",,,,,,,,,,,,,,,,,,,
kz_cg_brick_rmk,4,5,"Easy LJs, CJs and micro, triple surf (prioritize height), 240 block at end (wallstrafe from invisible walls if needed)",,,,,,,,,,,,,,,,,,,
kz_cg_lighthops,4,5,"Long surf climb near start, forced perfs, 248 block that can be wallstrafed, bhop sections with walkable triggers",,,,,,,,,,,,,,,,,,,
kz_checkmate  ,6,7,"Hard drop LJ prekeep, two other drops that can be JB'd/perfed/LJ'd, climb",,,,,,,,,,,,,,,,,,,
kz_cheetos_fix,2,2,"Short perf WR map, surf to drop near start, a few single block skips, two ladders (try to reduce airtime)",,,,,,,,,,,,,,,,,,,
kz_chessblock,5,6,"LJ skip around corner (can be no binded and is easier than the intended route), easy LJs, a lot of micro and block skips",,,,,,,,,,,,,,,,,,,
kz_chinablock,3,5,"Pace map with block skips, pixel surf in first room after small drop, dark room, perf to quick crouch onto pillar",,,,,,,,,,,,,,,,,,,
kz_christmas_fix,3,5,"Routing map with a lot of CJ block skips, headbanger section, no hard jumps",,,,,,,,,,,,,,,,,,,
kz_chrysoprase,1,2,"Micro map with a lot of ledgegrabs and CJs, CJ skips, grab the key before dropping to the well",,,,,,,,,,,,,,,,,,,
kz_chunky_peanut_butter,5,6,"248 corner drop JB or 360° JB, medium LJs (or prekeep), medium corners, 256 JB at end full run ",,,,,,,,,,,,,,,,,,,
kz_cliffhanger_go_global,2,4,"Single block skips and light micro, headbangers, easy climb map otherwise",,,,,,,,,,,,,,,,,,,
kz_colorcode,3,5,"Hard routing map, difficult to understand purple/orange section, use CP and TP (spec and unspec for pro) to get passed the moving part, shoot the lights",,,,,,,,,,,,,,,,,,,
kz_colors_v2,6,8,"Lengthy map (~1-2hrs), all climb, hard yellow room wallstrafe jump, hard yellow room corner jump, green room wallstrafe, no JBs, hard jumps ",,,,,,,,,,,,,,,,,,,
kz_combobreaker,3,4,"240 block, pixelwalk skip on side of mountian (wallstrafe down to other pixelwalks)",,,,,,,,,,,,,,,,,,,
kz_comboking7k ,6,7,"Visual remake of kz_gfy_c0mb0king, LAJ from the side of some ladders / stand on the edge. Water > wallstrafe section, surf ups near the end, sloped JB, hard corner at the end. Times were transferred",,,,,,,,,,,,,,,,,,,
kz_comboya,3,4,"A lot of easy corners, micro section at start, corner skip thats easier than standard route, repetitive end ",,,,,,,,,,,,,,,,,,,
kz_communityblock,5,7,"VERY lengthy climb map (~1-2 hrs), all climb, some low pre jumps and tricky corners, breakables, CONFUSING route",,,,,,,,,,,,,,,,,,,
kz_comp_2022,4,4,"Competitive maps jump, medium hard train LJ, shortcuts in mirage (wood to bricks) and nuke (A site to the crate) - BONUS 3 = silo to red, BONUS 2 = Harder comp jumps (c2c and more)",,,,,,,,,,,,,,,,,,,
kz_comp_global,3,3,"Old comp jumps, difficulty ranges from easy to medium/hard, lineups/techs for every section",,,,,,,,,,,,,,,,,,,
kz_complex,2,6,"Long map with many block skips, one is a pixelsurf in the white section towards the middle, another is a pixewalk over a boxed off section",,,,,,,,,,,,,,,,,,,
kz_conifer,4,5,"240 block, medium LJ with height, a few CJ skips, easy LJ/micro map otherwise",,,,,,,,,,,,,,,,,,,
kz_construction,4,6,"JB skip at the start (Ebox base > wood), some hard strafing LJs, headbanger section, walk bhops (extremely easy to CP on)",,,,,,,,,,,,,,,,,,,
kz_correguachin_reisido  ,7,9,"Short hard map, JB > surf into a short bhop section, jump off ladder to surf to ladder, two 265 blocks, LAJ > surf > bhop, LAJ > pixelsurf > bhop // BETTER pixel surf lineup at the end ",,,,,,,,,,,,,,,,,,,
kz_cousucks,4,5,"Pace map with routing and light micro, strafe heavy drop near start (LJ or prekeep LJ), two strafe heavy LJs (these can be JB'd)",,,,,,,,,,,,,,,,,,,
kz_cranking_the_hog,2,2,"Micro map, small LJ skip, most time saves are noducks",,,,,,,,,,,,,,,,,,,
kz_crash_fix,5,7,"Low pre headbanger, low pre 240 (preekeep/drop JB), hard box tech corners, spike drop (MBH or go on 2nd spike and 360° BH), medium/hard LJ drop",,,,,,,,,,,,,,,,,,,
kz_crate_delight_go,2,4,"Invisible platform paths connect each section, invisible walls on drops can be strafed under, a lot of block skips that require routing, easy LJs",,,,,,,,,,,,,,,,,,,
kz_cratespeed,1,2,"Mainly a CJ based map with easy LJs, narrow jump to ducked section with inconsistent clipping (off grid)",,,,,,,,,,,,,,,,,,,
kz_crypt_final,5,6,"Hard jump around pillar, 255 JBs, wallstrafe JB at the end (CJ > JB) or 180° JB, three prekeep bhop blocks",,,,,,,,,,,,,,,,,,,
kz_crysis,5,7,"Difficult and precise CJ section, drop 250 JB, forced perf sections full run ",,,,,,,,,,,,,,,,,,,
kz_cuberunfast,2,3,"248 block skip, noduck and CJ skips, pixelwalk on the top of the surf (speed cancel), surf for speed at end full run",,,,,,,,,,,,,,,,,,,
kz_cybersand ,2,3,"Reskin of kz_cyberspace_fix, NO gameplay changes, easy jumps, 235 block, times were transferred",,,,,,,,,,,,,,,,,,,
kz_dakow ,1,2,"Really short map with micro, tiny block skips, heavy routing needed for top times",,,,,,,,,,,,,,,,,,,
kz_dale,1,2,"Very short route map (~50s), medium LJ skips, perf grind",,,,,,,,,,,,,,,,,,,
kz_daniel,2,2,"Short map with a large skip (corner turn up to skip above yellow section - the slope), small skips",,,,,,,,,,,,,,,,,,,
kz_dark_fury,3,4,"Easy map, medium length, one hard corner (prekeep or lineup) and one medium corner, a lot of noducks and block skips",,,,,,,,,,,,,,,,,,,
kz_date2,5,7,"Mostly easy jumps, hard low pre-ish JB around a corner (LJ > JB or BH > JB or multi-bhop ), the end room is a maze",,,,,,,,,,,,,,,,,,,
kz_de_bhop,2,2,"Perf grind, easy jumps, no large skips (only obvious block/CJ skips) full run",,,,,,,,,,,,,,,,,,,
kz_dejavu,6,8,"Hard climb map, perf on small block, hard orange corner, prekeep, green corner prekeep, 240 block low pre, drop at the end (JB/perf/LJ)",,,,,,,,,,,,,,,,,,,
kz_delirium ,6,6,"Forced perf/JB in one section, lots of hard walks, multiple 240 blocks, vnl route at the end bhop sections ",,,,,,,,,,,,,,,,,,,
kz_delphinium,1,1,"Tons of routes to take, a lot of micro, all easy jumps",,,,,,,,,,,,,,,,,,,
kz_depot,7,8,"Multiple JBs and forced perfs mid bhop, very hard triple surf section (~80 secs of surf up on first, and more on others)",,,,,,,,,,,,,,,,,,,
kz_desolate,2,2,"Corner, drop LJ corners, micro map",,,,,,,,,,,,,,,,,,,
kz_dimensions_v1 ,4,5,"Long bhop section with a walk or perf, big surf drop - jump on water and immeditalety hold duck, headbangers in end sections",,,,,,,,,,,,,,,,,,,
kz_doubletake,2,2,"Left side route is much harder and requires a JB but it's much faster, right side route is very easy with some headbangers",,,,,,,,,,,,,,,,,,,
kz_doveen,4,5,"Bhop parts with forced perfs, spike bhops at end into small window (crouch to land in)",,,,,,,,,,,,,,,,,,,
kz_drops_od,5,6,"hard ladder, long walks on bhops, long bhop perf drop",,,,,,,,,,,,,,,,,,,
kz_dryness,5,6,"Forced perf (or JB) bhop section, pixelwalk on left side of 249 block",,,,,,,,,,,,,,,,,,,
kz_duality_v2,6,8,"JBs everywhere, edgebug (or 180° JB/BH), hard drop LJ (right pre) or 360° JB, 180° JB, prekeep 236 block no bind full run ",,,,,,,,,,,,,,,,,,,
kz_dungeon ,5,7,"Easy bhop sections, JB room (260, 260, 247), hard JB to ladder, two 240 blocks, medium LJs  full run ",,,,,,,,,,,,,,,,,,,
kz_dvn_cube_fixed,5,6,"240 blocks, 250 block (hard pre), hard bhop section that can be walked",,,,,,,,,,,,,,,,,,,
kz_dvn_dull,4,5,"Block skips, three 240 blocks (can wallstrafe), bhop section at end",,,,,,,,,,,,,,,,,,,
kz_dvn_redcarpet,3,5,"Pixelsurf on window for skip, easy LJs, long and repetitive route with easier options",,,,,,,,,,,,,,,,,,,
kz_dzy_beyond_v2,8,9,LAJ requires danvari and extremely good strafes,,,,,,,,,,,,,,,,,,,
kz_ea_beneath,2,3,"Skip at start from timer platform saves (2s~), invisible walls have been replaced with textures, routing for the lights is hard, CJ skips everywhere",,,,,,,,,,,,,,,,,,,
kz_edifice,4,5,"Climb ladder then JB off block to other ladder, bhop sections (walkable), pixelsurf one bhop by walking for short time",,,,,,,,,,,,,,,,,,,
kz_edp445,2,3,"Short map with some block skips, ledgegrabs and CJs, medium drop",,,,,,,,,,,,,,,,,,,
kz_ehcivec ,3,3,"Micro map with general climb, lots of crouch jumps",,,,,,,,,,,,,,,,,,,
kz_eilrahc ,3,3,"Micro map with some easy drops, one medium LJ",,,,,,,,,,,,,,,,,,,
kz_eimeristzurueck,4,5,"Medium LJs and surfs, medium length walks on bhops (pixelsurf route to skip the harder walk), easy LAJs, 250 block, surf into timer zone at the end",,,,,,,,,,,,,,,,,,,
kz_emblem,5,6,"Mostly easy/medium jumps, perf/JB skip, medium surf up, 245 prekeep wallstrafe ",,,,,,,,,,,,,,,,,,,
kz_emblem_bonus,3,4,"Climb map with CJ block skips, a couple easy/medium corners, easy drop from rope",,,,,,,,,,,,,,,,,,,
kz_ephemeral,4,5,"Two JBs, drop LJ/JB, ducked skip option, hard to do a pro run",,,,,,,,,,,,,,,,,,,
kz_epusbridge,3,5,"Wallstrafes at start, hard white corner turn, climbing surfs for 30% of the map (use Ferrari surf to save time), skip to get above roof after last surf up",,,,,,,,,,,,,,,,,,,
kz_erbajerb,3,3,"LJ based map with some micro, a lot of noducks, 250 block, LJ drop, ladder is easy",,,,,,,,,,,,,,,,,,,
kz_eros_v2,2,4,"Combo map with light micro, one semi-difficult corner, death jump out of window",,,,,,,,,,,,,,,,,,,
kz_excape,5,6,"Hard corner (jump early), weird surfs/boosters (speed bug with LJ bind), lowjump > JB, booster into teleporter room, spikes (JB > perf > bhop)",,,,,,,,,,,,,,,,,,,
kz_excavate_b,3,4,"Multiple 240 blocks (can prekeep), 2nd room is skipable from the ledge to the right of the start, light skip towards end",,,,,,,,,,,,,,,,,,,
